aa,sced,cplx,site,resl,acap,etat,rely,data,prec,pmat,aexp,flex,pcon,tool,time,stor,docu,b,plex,pcap,kloc,ltex,pr,ruse,team,pvol,$>effort,$>months,$>defects,$>risk
2.14178120367,1.80231331458,5.66166930786,2.67066752761,3.55750645959,4.39072740514,2.49993415451,4.6501375996,2.47148526114,2.07863458737,2.21831864829,4.70192813052,1.53333238581,4.82145623533,1.006709065,4.36614689414,4.67041285788,1.86969050512,7.43241522177,2.03904243345,4.25960039777,72.9986948055,2.0071760105,1.21004866136,5.58828624668,1.73905010953,2.53315375135,584.709648421,19.1573308817,4703.19438549,3.21715817694
1.53586576193,1.43013959444,2.24537456815,2.44624793801,3.07313351168,3.26999282441,5.3000478844,2.45002563158,3.13579455272,1.95331085598,2.68878456299,1.24369160545,4.89160240342,4.56677683146,4.95096965308,4.3590196928,3.31357462601,3.64480009246,4.49900934363,2.2493582626,4.08308129141,753.041441544,3.76501137202,2.49808760371,5.77505230511,4.05180193974,2.98442891148,2669.14461769,28.6103728831,18795.4116899,3.75335120643
1.95587912777,3.94505633874,5.12756827423,3.00105309303,2.9778935805,3.79180973604,1.4626493848,1.87513715488,4.11094641187,1.37036289199,1.16890445967,3.27068478625,3.33513220714,1.78665913335,3.08516433433,4.3637504818,5.16664424454,2.86134607698,7.62269769441,2.0783277944,2.57800922481,514.762916909,3.318475565,5.00452260428,3.02060713308,2.12427633367,2.42098228754,3097.30021638,45.2185319224,58309.617375,0.536193029491
3.30951069495,2.7466505029,4.30172394765,2.74800589142,2.62051182159,1.81458910124,1.08103964866,3.55401629893,3.02690254225,1.41250138261,2.61874591568,3.53450776852,2.80334716313,2.25321382395,1.49659480674,4.20162061184,4.97215505104,1.62407674588,6.75249964317,2.74301097319,3.50661057181,959.985069469,3.86331099439,4.94444979495,4.81428250532,3.73319618767,2.19498761717,7261.17701468,47.8564122678,44911.0926139,3.48525469169
1.19859469345,3.35964814797,3.27242513841,3.81811347465,3.09213887444,2.96549589604,5.15020440103,2.78481299938,4.73887624433,4.69966019684,4.75042285304,2.1253140218,4.82958527981,1.3987428361,3.05277638715,5.376205493,3.93456148057,3.2378590548,6.11457907772,3.96093904912,2.99542051506,870.514589071,2.45377075302,1.22709529446,2.49339504649,2.34766286801,4.5959429431,4054.91435162,43.8395854086,34650.2642388,0.536193029491
3.80315097379,4.90815506779,1.84388921041,1.0978165268,2.33314333406,1.33377792306,3.9461228051,1.45985868325,4.57374451585,1.6695074453,3.38427379456,2.6287263896,4.03521949843,3.67558462512,2.90338892898,3.44307965404,3.44117439174,4.78474255089,3.14384457435,3.00420249954,3.07834337995,956.445898219,4.54489733544,3.9977249517,4.6286246907,4.73386983554,2.06168798119,2599.85482747,55.4745485593,15098.4219046,2.14477211796
5.27139022372,2.52954340188,2.88097261652,2.33858449951,1.01661564557,2.57959790753,4.68579608346,2.06577401338,4.70528927376,4.82109705543,1.15987369744,1.59952119784,4.68484262654,1.49209006345,4.68296548354,5.26081886789,5.91045803123,3.38010441988,4.18540610177,3.01353717188,2.04926144813,820.009961862,4.33694502855,2.92884660036,3.33173603256,4.68148983778,2.40131657963,6470.5787515,43.881744967,30610.0612392,3.21715817694
5.29572683198,1.97777126145,5.51230644599,4.69546627519,3.08783128083,4.96135459994,4.63772502574,2.46233331489,3.88519280704,1.67114652169,3.25755585017,3.93456120399,3.49344314438,4.29561281402,1.21698352479,5.02537659445,4.26882100432,3.45181433124,9.52509945563,4.76891115097,2.86924678041,525.885363477,2.98384720534,5.76388212661,4.04298397393,4.26568909128,4.45376042289,1017.2614858,21.3553173487,7334.90405061,4.55764075067
2.22002263357,1.85390539539,3.39660230404,1.06652739134,3.3468672013,1.30679683793,4.63868544935,4.30014653313,3.05425264574,1.76827881113,3.34081694227,4.79985405426,4.39586729117,3.45516439402,4.07337682157,4.86271536134,3.90504627581,2.32008023433,5.75374106505,3.24200338107,1.90628941438,555.875112376,1.03992694724,1.36600682587,2.221346237,4.02639726215,2.09399280329,2890.98355293,29.1364445712,23335.7219485,6.43431635389
2.72559069692,4.39726425375,2.42236949426,2.21681710826,4.14849259857,3.43826080937,2.92344075041,3.25833081826,2.90482638967,2.8189104313,1.66078146794,2.02994503828,1.6198746324,1.63355137489,1.57143083032,4.30967267001,5.44421138428,3.55801679984,6.32385607587,4.99105946193,2.34420745069,431.495325656,4.3218309562,4.98791731296,2.80572948445,4.50858367373,4.20091342677,1589.90894971,48.1493926173,6260.09444128,1.07238605898
5.68980660846,4.55096685748,1.71581569345,3.75137790684,3.74152368878,1.56537820785,5.94597535948,1.20269289536,3.99145801305,2.53168497576,4.05052107311,3.67846175899,2.66337372923,1.99850886803,2.08110651735,4.07730294328,4.40301347331,2.85874988968,5.08508562466,1.19474699438,3.63889069877,911.131026587,1.07363468713,2.48661179749,3.98342714196,1.8345922173,2.08329559887,5684.35313179,71.2424731552,27218.8332016,2.68096514745
5.41667296011,1.69082804866,4.60175061899,5.61168896857,1.73951904294,1.89199807542,5.27336529334,2.19817423155,3.39767957111,4.66996075649,3.89510669886,2.16187052588,4.47558891001,2.21284321971,1.3159776564,5.32403844591,4.27353659952,4.03520944095,6.15738754447,3.30336860218,1.4001652719,742.848385451,2.8839778917,2.60975736016,2.35335904122,4.77675653621,3.79136507333,4892.03595693,32.7903167895,14958.4747666,9.65147453083
4.94881653703,4.94811359834,5.24044532312,4.07874194819,4.15665511016,4.42203360756,2.54589654383,4.60061304546,2.49851332298,4.20959812944,1.25731254613,3.37268220313,4.0156498789,2.64728361918,3.06668471251,3.09876117391,5.82045268611,2.57954077135,9.02815395635,3.89941624882,3.65259402016,528.688826377,1.6375502896,4.04450282322,2.40138937147,1.76970776507,2.16100085326,1577.89025885,46.8016441322,3700.15363643,0.268096514745
2.57072552449,2.90178078096,5.84339197785,2.64267039045,3.24452027296,1.59194988826,4.54892586454,3.4817174544,3.48549402611,2.03748590211,1.83330226439,1.55765817743,4.10275255524,1.734452869,3.69524265391,4.42558224357,4.73605152843,3.43560850598,3.59979612404,4.41424167035,1.95025841421,744.831046745,4.92859101264,4.47249208569,3.72557887397,4.37235968977,4.19087445622,6123.59074736,43.8279615816,30214.3389312,4.82573726542
5.75659610795,4.39094383163,4.27886418688,4.06208432762,1.31856045821,4.93713300364,3.99028523597,4.71374048832,4.1705544454,2.65537672765,4.86916733948,1.5669008676,2.13254089311,4.16588478117,4.39030710184,3.14260268772,4.2169854685,4.12660843783,9.89999266703,1.54901901558,2.50968510056,889.311626169,3.30633497887,1.81448301266,2.26051312123,2.48526582137,3.40550328198,2696.47984476,55.8515695229,4437.70340164,0.536193029491
2.87950052877,1.25365224241,4.73793272855,3.82039294672,4.10765209468,3.25826594019,2.26936165731,2.26120407012,3.8283044909,3.27981954263,2.26804859507,3.41964084135,3.62574131602,2.79634979333,4.03461957308,3.93188184882,5.82963463584,2.33233970445,6.35835511331,2.56740801941,4.43775606726,983.877640616,1.16702695147,1.01773573468,4.91873519969,4.24104741697,4.79336671095,6191.62281431,36.1874098738,118206.245899,3.21715817694
5.11214538209,4.90314115881,3.20255381632,3.02063384713,4.45210673056,1.2757393909,1.60536467678,2.68008005553,4.28924813618,3.47392907007,1.97228553645,4.44825806652,3.78534919223,1.11983472206,2.45285890586,5.60686854574,5.55691106042,4.59576327094,9.45343355659,4.23280871092,4.78336573358,40.2201028446,2.35628305699,3.15582406175,3.92323953622,1.19212487613,4.2464334612,355.385946208,30.5091638885,1031.78369741,2.9490616622
3.41598769416,1.06180955545,2.89616849181,1.23314233669,1.16619139152,3.8224362663,3.27232863716,3.18673970314,4.53019276635,4.76213850294,2.01565447974,4.11327556793,1.61499596905,2.01158180801,2.9407814294,5.18970620105,5.92727212518,1.64860012197,6.12907475717,3.86255998087,3.19157024394,701.834618645,3.59503655512,3.34643134314,2.30434841649,3.03002573418,2.3325283923,5911.82620079,36.7867083287,43604.5736533,2.14477211796
3.36672452942,1.48723576912,3.99876503902,2.57878343166,2.39030443311,3.00932594023,3.60780711842,1.83879644328,4.98120945429,3.16407108638,1.34168501883,4.74592193437,1.09309873004,3.77933307784,4.76301897166,4.10523073824,3.93581321659,1.12934218038,6.44659971708,3.66744542807,1.97796403504,393.850227112,1.53776313345,3.44060138159,4.16929805026,1.16711041547,3.44721202642,3021.32738863,31.4906379408,22891.6266432,7.23860589812
4.75958764566,4.11542889349,5.01179166877,4.64106262464,1.69396345827,4.57686522742,4.95568466386,2.96868364021,4.24859613824,3.33015012683,4.08845533896,2.70693649376,1.01881023942,4.65316134875,1.36699899296,4.58371208487,3.76592258426,3.7766948531,3.34036844323,1.37945437309,3.22232682155,355.200983466,2.60433049858,3.44310549697,5.72202748752,1.4210654803,2.35010379516,2455.14247866,55.9179349064,8303.34004151,1.34048257373
4.79525532059,2.90862822755,4.50437951317,1.17766747424,1.81907841526,4.14103468803,5.13222014763,2.58877519071,2.07895928885,3.59118967547,4.53532882009,4.25088645515,1.05948578341,1.47744723607,4.3749655153,5.27744367606,4.49048749536,1.94292497916,9.84974209957,3.03874822641,3.70219090758,145.022871965,3.44166132511,5.48761092309,5.94485782427,1.963826459,4.90461452441,1006.08138208,25.9134646557,3942.98254778,1.60857908847
5.19459277368,4.7670247962,4.48371428977,2.80716603875,4.90300017597,4.73924294626,3.04137340042,4.52993203797,4.54276753724,1.55724969657,4.37025580953,3.81263644969,3.67150219319,4.62677439232,4.54008184364,3.03011663086,3.50238411324,3.87303358296,9.73505080555,3.28673009507,1.90264004986,680.900719585,1.8327532591,3.1909581835,5.83093867877,3.86637883242,3.747710649,1646.19466477,45.6196345121,2070.52298006,1.07238605898
